name,weight
historic architecture,104
communicate with local residents,104
advise on communication strategies,104
evaluate marketing content,104
think creatively about food and beverages,104
"""manage childrens problems""",104
hydraulics,104
freight transport methods,103
electrical wiring plans,103
provide career counselling,103
assist social service users with physical disabilities,103
art history,103
musical genres,103
food policy,103
fine arts,102
apparel manufacturing technology,102
quality and cycle time optimisation,102
photography,102
secondary school procedures,102
cooperate at inter-professional level,102
inspect government policy compliance,101
forecast future levels of business,101
order construction supplies,101
compare property values,101
participate in governmental tenders,101
develop a specific interior design,101
air transport law,101
manage inspections of equipment,101
provide support in financial calculation,101
rhetoric,100
monitor machine operations,100
assist students with their dissertation,100
architectural conservation,100
compile legal documents,100
develop documentation in accordance with legal requirements,100
monitor sugar uniformity,100
cook pastry products,100
create technical plans,99
consult with production director,99
encourage social service users to preserve their independence in their daily activities,99
support social service users in skills management,99
assist social service users in formulating complaints,99
social media marketing techniques,99
use instruments for food measurement,99
perform services in a flexible manner,99
prepare visual data,99
analyse software specifications,98
assist scientific research,98
make architectural mock-ups,98
use scripting programming,98
show confidence,98
refer service users to community resources,98
"""assist in childrens development of basic personal skills""",98
provide financial product information,98
analyse business requirements,98
develop food policy,98
promote environmental awareness,98
biological chemistry,98
implement strategic management,98
dispose of hazardous waste,97
lead inspections,97
test chemical samples,97
supervise educational staff,97
financial department processes,97
support social service users with specific communication needs,97
identify ICT system weaknesses,97
attend to detail regarding food and beverages,97
perform property market research,96
coordinate manufacturing production activities,96
manufacturing of wearing apparel,96
public housing legislation,96
employ foreign languages in care,96
subsidiary operations,96
use consulting techniques,96
design information system,96
perform clerical duties,95
ensure conformity to specifications,95
software design methodologies,95
check quality of products on the production line,95
pedagogy,95
follow written instructions,95
manufacturing of made-up textile articles,95
accounting department processes,95
communicate with banking professionals,95
support harmed social service users,95
"""monitor service users health""",95
check quality of raw materials,94
fraud detection,94
evaluate budgets,94
stock market,94
promote yourself,94
"""support social service users positiveness""",94
"""evaluate older adults ability to take care of themselves""",94
discuss research proposals,94
construction legal systems,94
advise on construction materials,94
manage ICT project,94
consumer law,94
analyse ICT system,94
standard sizing systems for clothing,94
estimate profitability,94
fire safety regulations,94
maintain operational communications,94
manage emergency procedures,94
quality assurance procedures,93
medical terminology,93
clean food and beverage machinery,93
ensure sanitation,93
create prototype of user experience solutions,93
oversee extra-curricular activities,93
greet guests,93
support service users to use technological aids,93
undertake risk assessment of clients,93
read assembly drawings,93
identify market niches,93
react to events in time-critical environments,93
prepare flambeed dishes,93
advise guests on menus for special events,93
modern portfolio theory,92
handle veterinary emergencies,92
set organisational policies,92
use chemical analysis equipment,92
report test findings,92
label samples,92
prepare legislation proposition,92
be at ease in unsafe environments,92
conduct quality control analysis,92
prepare building permit applications,92
mechanical tools,92
practice innovative thinking in the footwear and leather goods industries,92
"""identify clients needs""",91
manage ethical issues within social services,91
support service users in developing skills,91
provide written content,91
interpret technical texts,91
perform product testing,91
furniture wood types,91
liaise with politicians,91
writing techniques,91
identify undetected organisational needs,91
levels of software testing,90
ensure compliance with company regulations,90
refer social service users,90
present legislation proposition,90
counselling methods,90
investment analysis,90
enforce financial policies,90
primary school procedures,90
strategic planning,90
civil engineering,90
conduct research interview,90
pharmacology,90
strive for harmonious architectural constructions,90
publish academic research,89
develop company strategies,89
business requirements techniques,89
transport construction supplies,89
maintain relations with local representatives,89
maintain laboratory equipment,89
bookkeeping regulations,89
prepare tax returns forms,89
industrial engineering,88
adapt teaching to target group,88
employ foreign languages for health-related research,88
collaborate in the development of marketing strategies,88
health and safety measures in transportation,88
audit HACCP,88
supply machine with appropriate tools,88
analyse customer service surveys,88
law enforcement,87
government policy,87
manage IT security compliances,87
implement care programmes for children,87
adult education,87
track shipping sites,87
install electrical and electronic equipment,87
operate radio equipment,87
"""attend to childrens basic physical needs""",87
dispose of cutting waste material,87
perform sample testing,87
business processes,86
ICT project management,86
musical theory,86
impact of geological factors on mining operations,86
manage system testing,86
tools for software configuration management,86
identify security threats,86
hygiene in a health care setting,86
manage the handling of promotional materials,86
negotiate terms with suppliers,86
perform ICT troubleshooting,85
geographic areas,85
ensure proper document management,85
proofread text,85
drive vehicles,85
define software architecture,85
define manufacturing quality criteria,85
criminal law,85
web analytics,85
monitor system performance,85
legal research,85
file claims with insurance companies,85
pollution legislation,85
track shipments,85
monitor the welfare of animals,85
calculate needs for construction supplies,85
interview techniques,85
serve on academic committee,84
provide treatment strategies for challenges to human health,84
"""respond to customers inquiries""",84
get involved in the day-to-day operation of the company,84
optimise production processes parameters,84
follow control of substances hazardous to health procedures,84
carry out inventory control accuracy,83
hazardous freight regulations,83
manage animal hygiene,83
health care occupation-specific ethics,83
advise client on technical possibilities,83
check accounting records,83
job market offers,83
legal case management,83
information security strategy,83
participate in scientific colloquia,83
coordinate operational activities,83
organise training,83
administer multi-modal logistics,82
reflect on practice,82
support social service users to live at home,82
legal terminology,82
organisational resilience,82
systems development life-cycle,82
maintain electrical equipment,82
carry out checks of production plant equipment,82
monitor merchandise delivery,82
footwear creation process,82
geographic information systems,82
communication,82
support development of annual budget,82
prepare financial auditing reports,82
analyse legal evidence,82
understand artistic concepts,82
apply crisis intervention,82
"""integrate headquarters guidelines into local operations""",82
negotiate improvement with suppliers,81
motivate employees,81
"""monitor students behaviour""",81
handle surveillance equipment,81
use software design patterns,81
use automatic programming,81
translate artistic concepts to technical designs,81
initiate contact with sellers,81
initiate contact with buyers,81
assume responsibility for the management of a business,81
evaluate garment quality,81
operate computerised control systems,81
types of maritime vessels,81
manage ICT legacy implication,81
perform process control in the wearing apparel industry,80
ensure regulatory compliance concerning distribution activities,80
manage freight payment methods,80
gather experimental data,80
develop investment portfolio,80
use geographic information systems,80
plan social service process,80
budget for financial needs,80
audiovisual equipment,80
collect customer feedback on applications,79
gather reference materials for artwork,79
environmental policy,79
adapt instruction to labour market,79
medical informatics,79
negotiate sale of commodities,79
use microsoft office,79
advise on lesson plans,79
promote human rights,79
liaise with advertising agencies,79
sales promotion techniques,79
accounting entries,78
disseminate information on tax legislation,78
types of insurance,78
apply desktop publishing techniques,78
desktop publishing,78
customer relationship management,78
public relations,78
manage animal biosecurity,78
create flowchart diagram,78
use precision tools,78
Waterfall development,78
civil law,78
profile people,78
work in partnership with social services users,78
consider social impact of actions on service users,78
negotiate with social service stakeholders,78
empower social service users,78
develop professional identity in social work,77
social work theory,77
supervise doctoral students,77
World Wide Web Consortium standards,77
manage major incidents,77
ensure compliance with accounting conventions,77
integrate system components,77
signs of animal illness,77
interpret law,77
disseminate messages to people,76
waste management,76
use analytics for commercial purposes,76
engine components,76
Internet of Things,76
integrated development environment software,76
prepare samples for testing,76
organise social work packages,76
negotiate with social service users,76
maintain electronic equipment,76
read maps,76
handle quotes from prospective shippers,76
ensure compliance with environmental legislation in food production,75
use software libraries,75
calculate tax,75
process commissioned instructions,75
"""record customers personal data""",75
literature,75
execute marketing plan,75
ICT security standards,75
aircraft flight control systems,75
show responsibility,75
ensure law application,75
give advice on personal matters,75
monitor national economy,75
apply case management,75
apply anti-oppressive practices,75
make legislation transparent for users of social services,75
edit recorded sound,74
conclude business agreements,74
check compatibility of materials,74
achieve sales targets,74
visual presentation techniques,74
"""show consideration for students situation""",74
perform business research,74
give live presentation,74
ergonomics in footwear and leather goods design,74
minimise shipping cost,74
forecast distribution activities,74
utilise computer-aided software engineering tools,74
manage operational budgets,74
adolescent psychological development,74
write meeting reports,74
Iterative development,73
perform quality audits,73
set quality assurance objectives,73
work with chemicals,73
renewable energy technologies,73
sew pieces of fabric,73
create mood boards,73
use markup languages,73
hire new personnel,72
present detailed design proposals,72
information structure,72
Rapid application development,72
Incremental development,72
Agile development,72
migrate existing data,72
perform data mining,72
explain accounting records,72
material mechanics,72
manage a small-to-medium business,72
animal welfare,72
mark differences in colours,72
apply information security policies,72
construction product regulation,72
forecast economic trends,72
web programming,71
non-ferrous metal processing,71
apply a protective layer,71
develop automated migration methods,71
operate welding equipment,71
estimate restoration costs,71
ecology,71
ensure compliance with policies,71
prepare presentation material,71
perform public relations,71
draft design specifications,70
attach accounting certificates to accounting transactions,70
examine credit ratings,70
general medicine,70
assess operating cost,70
follow the news,70
use specific writing techniques,70
